State,Year,Rape,Kidnapping and Abduction,Dowry Death,Assault on Women,Outrage women Modesty,Domestic Violence,Women Trafficking,Total_Crimes
DELHI,2011,572,2085,142,0,162,1575,33,4569
LAKSHADWEEP,2011,0,0,0,0,0,0,0,0
PUDUCHERRY,2011,7,9,1,0,16,10,3,46
ANDHRA PRADESH,2012,1341,1403,504,4816,3714,13389,472,25639
ARUNACHAL PRADESH,2012,46,58,1,67,2,26,1,201
ASSAM,2012,1716,3360,140,1840,5,6407,30,13498
BIHAR,2012,927,3789,1275,118,37,3686,35,9867
CHHATTISGARH,2012,1034,350,81,1601,162,980,5,4213
GOA,2012,55,16,0,49,16,24,40,200
GUJARAT,2012,473,1527,21,745,93,6658,44,9561
HARYANA,2012,668,900,258,525,434,3137,69,5991
HIMACHAL PRADESH,2012,183,152,2,250,68,251,6,912
JAMMU & KASHMIR,2012,303,1041,8,1322,347,301,3,3325
JHARKHAND,2012,812,786,302,284,10,1261,12,3467
KARNATAKA,2012,621,1070,218,2978,100,3684,335,9006
KERALA,2012,1019,214,32,3735,498,5216,210,10924
MADHYA PRADESH,2012,3425,1127,743,6655,774,3988,13,16725
MAHARASHTRA,2012,1839,1140,329,3935,1294,7415,366,16318
MANIPUR,2012,63,133,0,49,1,43,15,304
MEGHALAYA,2012,164,24,1,43,0,16,7,255
MIZORAM,2012,103,3,0,85,0,8,0,199
NAGALAND,2012,21,10,0,16,0,0,4,51
ODISHA,2012,1458,1364,525,4187,304,2638,24,10500
PUNJAB,2012,680,689,118,340,31,1293,86,3237
RAJASTHAN,2012,2049,2697,478,2352,18,13312,99,21005
SIKKIM,2012,34,10,1,19,0,4,0,68
TAMIL NADU,2012,737,1693,110,1494,382,1965,500,6881
TELANGANA,2012,0,0,0,0,0,0,0,0
TRIPURA,2012,229,114,37,314,7,858,0,1559
UTTAR PRADESH,2012,1963,7910,2244,3247,8,7661,31,23064
UTTARAKHAND,2012,148,256,71,139,73,368,12,1067
WEST BENGAL,2012,2046,4168,593,3345,556,19865,109,30682
ANDAMAN & NICOBAR ISLANDS,2012,12,7,2,10,4,5,2,42
CHANDIGARH,2012,27,66,5,45,25,73,0,241
DADRA & NAGAR HAVELI,2012,3,9,0,2,0,0,2,16
DAMAN AND DIU,2012,5,0,0,0,0,3,3,11
DELHI,2012,706,2160,134,727,208,1985,24,5944
LAKSHADWEEP,2012,0,0,0,1,0,1,0,2
PUDUCHERRY,2012,13,16,0,9,2,6,4,50
ANDHRA PRADESH,2013,1635,1595,492,6930,4702,15084,489,30927
ARUNACHAL PRADESH,2013,75,86,0,93,3,29,2,288
ASSAM,2013,1937,4222,170,2409,14,8636,18,17406
BIHAR,2013,1128,4419,1182,331,52,4533,64,11709
CHHATTISGARH,2013,1380,1881,109,2261,180,1181,8,7000
GOA,2013,86,70,0,162,54,40,28,440
GUJARAT,2013,732,2230,29,1243,77,7812,76,12199
HARYANA,2013,971,1957,263,1560,643,3617,63,9074
HIMACHAL PRADESH,2013,250,290,0,493,111,328,4,1476
JAMMU & KASHMIR,2013,378,949,7,1389,354,428,1,3506
JHARKHAND,2013,1204,926,307,524,18,2084,11,5074
KARNATAKA,2013,1030,1359,277,3913,137,3276,340,10332
KERALA,2013,1221,185,21,4362,404,4820,180,11193
MADHYA PRADESH,2013,4335,2873,776,8252,736,4988,22,21982
MAHARASHTRA,2013,3063,1874,320,8132,2632,8542,289,24852
MANIPUR,2013,72,125,0,59,0,29,0,285
MEGHALAYA,2013,183,33,2,98,0,23,4,343
MIZORAM,2013,89,2,0,81,0,5,0,177
NAGALAND,2013,31,11,1,18,1,4,1,67
ODISHA,2013,1832,2067,395,4618,426,2792,27,12157
PUNJAB,2013,888,987,126,1045,67,1741,137,4991
RAJASTHAN,2013,3285,4047,453,4829,25,15094,74,27807
SIKKIM,2013,43,16,0,29,0,5,0,93
TAMIL NADU,2013,923,1516,118,1271,313,2471,549,7161
TELANGANA,2013,0,0,0,0,0,0,0,0
TRIPURA,2013,233,124,29,407,7,827,0,1627
UTTAR PRADESH,2013,3050,9737,2335,7303,25,8781,37,31268
UTTARAKHAND,2013,228,633,43,295,72,435,13,1719
WEST BENGAL,2013,1685,3830,481,4913,577,18116,104,29706
ANDAMAN & NICOBAR ISLANDS,2013,27,12,1,45,8,9,4,106
CHANDIGARH,2013,45,174,1,143,26,92,6,487
DADRA & NAGAR HAVELI,2013,5,11,0,1,1,1,2,21
DAMAN AND DIU,2013,8,6,0,2,0,2,6,24
DELHI,2013,1636,3609,144,3515,916,3033,20,12873
LAKSHADWEEP,2013,2,0,0,1,0,0,0,3
PUDUCHERRY,2013,17,25,1,12,8,8,0,71
ANDHRA PRADESH,2014,961,721,468,4547,1072,6362,204,14335
ARUNACHAL PRADESH,2014,83,91,0,121,21,42,0,358
ASSAM,2014,1980,3895,92,3099,458,9626,29,19179
BIHAR,2014,1127,4735,2203,572,271,4672,31,13611
CHHATTISGARH,2014,1436,1393,8,2122,649,964,2,6574
GOA,2014,95,86,0,202,50,35,9,477
GUJARAT,2014,841,2187,53,1352,405,5991,45,10874
HARYANA,2014,1174,1922,13,1688,599,3478,43,8917
HIMACHAL PRADESH,2014,283,227,2,538,159,325,5,1539
JAMMU & KASHMIR,2014,331,813,1,1421,242,467,1,3276
JHARKHAND,2014,1050,885,1538,440,114,1462,11,5500
KARNATAKA,2014,1324,1457,1730,5263,253,3025,388,13440
KERALA,2014,1347,143,3,4367,980,4919,91,11850
MADHYA PRADESH,2014,5076,5688,113,9609,3163,6451,15,30115
MAHARASHTRA,2014,3438,2457,39,10001,4052,7696,202,27885
MANIPUR,2014,75,121,0,98,5,41,0,340
MEGHALAYA,2014,118,38,1,105,0,42,3,307
MIZORAM,2014,120,3,0,97,53,8,0,281
NAGALAND,2014,30,13,0,16,5,3,1,68
ODISHA,2014,1978,2436,646,5543,802,3114,32,14551
PUNJAB,2014,981,1176,5,1113,344,1681,63,5363
RAJASTHAN,2014,3759,4421,12,5999,727,15905,78,30901
SIKKIM,2014,47,12,0,34,14,5,0,112
TAMIL NADU,2014,455,1502,292,1102,46,2103,471,5971
TELANGANA,2014,979,711,563,3188,620,6369,192,12622
TRIPURA,2014,239,102,1,492,82,702,0,1618
UTTAR PRADESH,2014,3467,10626,2133,8605,4435,10471,37,39774
UTTARAKHAND,2014,270,275,104,343,22,301,19,1334
WEST BENGAL,2014,1466,4976,1,5670,1045,23278,80,36516
ANDAMAN & NICOBAR ISLANDS,2014,32,17,0,41,18,14,1,123
CHANDIGARH,2014,59,133,2,87,31,141,0,453
DADRA & NAGAR HAVELI,2014,5,7,0,2,0,6,0,20
DAMAN AND DIU,2014,2,1,0,3,3,1,8,18
DELHI,2014,2096,4034,13,4322,1186,3173,8,14832
LAKSHADWEEP,2014,1,0,0,1,0,0,0,2
PUDUCHERRY,2014,10,7,14,32,12,4,1,80
ANDHRA PRADESH,2015,1027,684,174,4616,1070,6121,204,13896
ARUNACHAL PRADESH,2015,71,128,0,101,15,66,2,383
ASSAM,2015,1733,5039,216,4293,499,11225,47,23052
BIHAR,2015,1041,5158,1154,198,78,3792,21,11442
CHHATTISGARH,2015,1560,1354,89,1868,507,620,4,6002
GOA,2015,86,70,0,150,58,19,3,386
GUJARAT,2015,503,1569,12,1164,536,4133,35,7952
HARYANA,2015,1070,2336,243,1886,688,3525,44,9792
HIMACHAL PRADESH,2015,244,239,2,434,99,226,6,1250
JAMMU & KASHMIR,2015,296,1071,6,1343,244,400,0,3360
JHARKHAND,2015,1053,930,267,844,531,1654,3,5282
KARNATAKA,2015,589,1611,254,5112,535,2732,420,11253
KERALA,2015,1256,192,8,3987,1145,3668,135,10391
MADHYA PRADESH,2015,4391,4547,664,8049,2559,5281,25,25516
MAHARASHTRA,2015,4144,5096,268,11713,4751,7640,381,33993
MANIPUR,2015,46,94,0,84,2,39,0,265
MEGHALAYA,2015,93,58,1,95,22,44,0,313
MIZORAM,2015,58,8,0,75,53,9,0,203
NAGALAND,2015,35,30,0,8,6,4,3,86
ODISHA,2015,2251,2587,356,6499,886,3605,35,16219
PUNJAB,2015,886,1253,85,1123,400,1583,69,5399
RAJASTHAN,2015,3644,4167,463,4813,649,14383,86,28205
SIKKIM,2015,5,21,1,21,5,2,0,55
TAMIL NADU,2015,421,1335,65,1163,197,1900,491,5572
TELANGANA,2015,1105,648,262,3608,620,7329,252,13824
TRIPURA,2015,213,120,28,352,28,501,2,1244
UTTAR PRADESH,2015,3025,10135,2335,7885,5925,8660,33,37998
UTTARAKHAND,2015,283,336,54,318,51,407,18,1467
WEST BENGAL,2015,1199,3938,498,5069,674,20163,101,31642
ANDAMAN & NICOBAR ISLANDS,2015,36,21,0,57,23,14,0,151
CHANDIGARH,2015,72,165,5,76,22,126,0,466
DADRA & NAGAR HAVELI,2015,8,9,1,5,0,2,0,25
DAMAN AND DIU,2015,5,13,0,7,3,3,0,31
DELHI,2015,2199,4301,122,5367,1150,3521,3,16663
LAKSHADWEEP,2015,0,0,0,6,0,2,0,8
PUDUCHERRY,2015,3,14,1,33,10,4,1,66
ANDHRA PRADESH,2016,994,626,193,4829,1305,6461,186,14594
ARUNACHAL PRADESH,2016,92,85,1,109,4,50,0,341
ASSAM,2016,1779,5339,157,3378,677,9321,65,20716
BIHAR,2016,1008,5496,987,324,124,3794,50,11783
CHHATTISGARH,2016,1626,1447,84,1770,244,622,17,5810
GOA,2016,61,69,2,143,41,23,3,342
GUJARAT,2016,982,2146,12,1224,473,3732,76,8645
HARYANA,2016,1187,2697,260,1860,699,3313,59,10075
HIMACHAL PRADESH,2016,252,201,3,410,114,214,7,1201
JAMMU & KASHMIR,2016,256,774,6,1235,253,342,1,2867
JHARKHAND,2016,1109,693,278,667,373,1002,0,4122
KARNATAKA,2016,1655,1923,234,5260,703,2556,323,12654
KERALA,2016,1656,166,25,4029,1273,3455,113,10717
MADHYA PRADESH,2016,4882,4904,629,8717,3128,6264,20,28544
MAHARASHTRA,2016,4189,6170,248,11396,4057,7215,303,33578
MANIPUR,2016,55,95,0,65,15,29,0,259
MEGHALAYA,2016,190,51,0,68,20,26,2,357
MIZORAM,2016,23,3,0,71,44,19,3,163
NAGALAND,2016,26,50,1,14,6,3,0,100
ODISHA,2016,1983,2291,397,8252,979,2781,38,16721
PUNJAB,2016,838,1208,80,1025,325,1568,64,5108
RAJASTHAN,2016,3656,4010,462,4839,483,13811,56,27317
SIKKIM,2016,92,12,0,34,8,2,0,148
TAMIL NADU,2016,319,1043,58,854,115,1256,432,4077
TELANGANA,2016,1278,987,254,3767,859,7202,240,14587
TRIPURA,2016,207,119,19,214,52,430,0,1041
UTTAR PRADESH,2016,4816,12994,2473,11335,9422,11156,50,52246
UTTARAKHAND,2016,336,377,57,344,35,392,11,1552
WEST BENGAL,2016,1110,4494,535,4177,663,19302,87,30368
ANDAMAN & NICOBAR ISLANDS,2016,30,21,0,46,15,7,0,119
CHANDIGARH,2016,68,112,4,76,26,122,0,408
DADRA & NAGAR HAVELI,2016,14,5,0,1,0,6,0,26
DAMAN AND DIU,2016,12,9,0,4,0,8,4,37
DELHI,2016,2155,3891,162,4165,796,3877,4,15050
LAKSHADWEEP,2016,5,0,0,1,0,2,0,8
PUDUCHERRY,2016,6,11,0,43,13,15,0,88
ANDHRA PRADESH,2017,988,712,152,5129,1998,7156,121,16256
ARUNACHAL PRADESH,2017,59,74,0,97,5,56,2,293
ASSAM,2017,1772,5554,171,3569,108,9782,40,20996
BIHAR,2017,605,6182,1081,197,1,3776,24,11866
CHHATTISGARH,2017,1908,1457,74,1899,144,582,16,6080
GOA,2017,76,61,1,134,31,21,1,325
GUJARAT,2017,477,1259,9,1058,17,3223,28,6071
HARYANA,2017,1099,2949,245,2031,179,3326,57,9886
HIMACHAL PRADESH,2017,249,242,3,397,52,191,8,1142
JAMMU & KASHMIR,2017,296,931,8,1417,41,377,0,3070
JHARKHAND,2017,914,1033,248,748,104,998,4,4049
KARNATAKA,2017,546,967,206,5763,212,2332,236,10262
KERALA,2017,2003,184,12,4413,421,2856,21,9910
MADHYA PRADESH,2017,5562,5200,632,9252,277,6099,27,27049
MAHARASHTRA,2017,1933,6248,233,9392,919,6584,248,25557
MANIPUR,2017,40,70,0,66,8,19,0,203
MEGHALAYA,2017,119,54,1,88,21,20,0,303
MIZORAM,2017,25,0,0,64,2,20,0,111
NAGALAND,2017,10,7,0,12,0,3,3,35
ODISHA,2017,2070,2773,326,9132,490,2525,21,17337
PUNJAB,2017,530,1099,68,933,22,1199,7,3858
RAJASTHAN,2017,3305,3838,457,4883,24,11508,86,24101
SIKKIM,2017,17,27,0,21,7,5,0,77
TAMIL NADU,2017,283,859,48,744,9,984,403,3330
TELANGANA,2017,552,934,251,4409,1160,7838,79,15223
TRIPURA,2017,95,90,33,225,9,348,0,800
UTTAR PRADESH,2017,4246,14993,2524,12607,91,12653,25,47139
UTTARAKHAND,2017,374,371,60,435,4,394,6,1644
WEST BENGAL,2017,1084,4232,499,3832,448,16800,67,26962
ANDAMAN & NICOBAR ISLANDS,2017,13,3,1,38,11,4,0,70
CHANDIGARH,2017,65,138,1,100,12,121,0,437
DADRA & NAGAR HAVELI,2017,1,0,0,3,0,4,0,8
DAMAN AND DIU,2017,7,0,0,6,1,5,0,19
DELHI,2017,1229,3783,120,2874,619,2735,6,11366
LAKSHADWEEP,2017,0,0,0,0,0,2,0,2
PUDUCHERRY,2017,7,9,2,33,4,5,0,60
ANDHRA PRADESH,2018,971,697,140,4445,1802,6831,152,15038
ARUNACHAL PRADESH,2018,67,87,0,103,12,60,0,329
ASSAM,2018,1648,6401,173,4180,171,11136,37,23746
BIHAR,2018,651,7951,1107,262,30,2539,49,12589
CHHATTISGARH,2018,2091,1842,79,1854,184,503,15,6568
GOA,2018,61,78,0,125,26,9,7,306
GUJARAT,2018,553,1024,9,1208,12,2923,34,5763
HARYANA,2018,1296,3419,216,2671,192,4154,43,11991
HIMACHAL PRADESH,2018,344,341,4,513,78,183,10,1473
JAMMU & KASHMIR,2018,320,1061,8,1597,25,325,1,3337
JHARKHAND,2018,1090,1018,252,1378,37,1032,9,4816
KARNATAKA,2018,492,1240,200,5204,138,2053,179,9506
KERALA,2018,1945,173,17,4544,461,2046,4,9190
MADHYA PRADESH,2018,5433,6126,547,8790,270,4159,40,25365
MAHARASHTRA,2018,2142,6825,200,10835,1074,6862,200,28138
MANIPUR,2018,52,85,0,56,8,14,0,215
MEGHALAYA,2018,87,58,1,95,16,18,2,277
MIZORAM,2018,50,1,0,67,1,6,0,125
NAGALAND,2018,10,35,0,10,5,3,1,64
ODISHA,2018,918,2611,372,9973,506,1984,10,16374
PUNJAB,2018,831,1266,67,956,19,1470,6,4615
RAJASTHAN,2018,4335,4247,404,5249,34,12250,62,26581
SIKKIM,2018,16,7,1,23,5,1,0,53
TAMIL NADU,2018,331,896,55,814,14,789,386,3285
TELANGANA,2018,606,1121,186,4567,878,6286,81,13725
TRIPURA,2018,97,139,18,165,6,303,2,730
UTTAR PRADESH,2018,3946,15381,2444,12555,17,14233,27,48603
UTTARAKHAND,2018,561,502,63,548,8,622,0,2304
WEST BENGAL,2018,1069,4249,444,3399,391,16951,97,26600
ANDAMAN & NICOBAR ISLANDS,2018,30,2,0,35,4,4,0,75
CHANDIGARH,2018,86,139,6,100,3,93,0,427
DADRA & NAGAR HAVELI,2018,7,0,0,6,2,1,0,16
DAMAN AND DIU,2018,3,0,0,5,1,4,0,13
DELHI,2018,1215,3715,153,2705,552,3416,1,11757
LAKSHADWEEP,2018,2,0,0,0,1,1,0,4
PUDUCHERRY,2018,0,14,0,60,9,8,4,95
ANDHRA PRADESH,2019,1086,589,112,4444,1892,7851,88,16062
ARUNACHAL PRADESH,2019,63,68,1,80,6,54,0,272
ASSAM,2019,1773,6989,156,4619,385,11943,12,25877
BIHAR,2019,730,9025,1120,312,11,2397,40,13635
CHHATTISGARH,2019,1036,2033,76,1316,232,732,12,5437
GOA,2019,72,52,1,119,37,9,1,291
GUJARAT,2019,528,922,9,1048,16,3619,24,6166
HARYANA,2019,1480,2803,248,2581,173,4867,28,12180
HIMACHAL PRADESH,2019,359,337,4,498,72,228,10,1508
JAMMU & KASHMIR,2019,223,893,8,1440,15,347,0,2926
JHARKHAND,2019,1416,1008,299,1646,7,1426,4,5806
KARNATAKA,2019,505,1056,194,4937,107,2472,214,9485
KERALA,2019,2023,227,8,4507,435,2970,10,10180
MADHYA PRADESH,2019,2485,6091,550,5585,174,5486,21,20392
MAHARASHTRA,2019,2299,6906,196,10472,1074,8430,152,29529
MANIPUR,2019,36,84,0,59,7,15,0,201
MEGHALAYA,2019,102,71,3,96,18,23,3,316
MIZORAM,2019,42,2,0,35,0,5,0,84
NAGALAND,2019,8,13,0,8,1,0,0,30
ODISHA,2019,1382,3934,342,11308,536,2739,19,20260
PUNJAB,2019,1002,1534,69,944,35,1595,9,5188
RAJASTHAN,2019,5997,5907,452,8802,69,18432,40,39699
SIKKIM,2019,11,0,0,21,2,1,0,35
TAMIL NADU,2019,362,699,28,803,7,781,349,3029
TELANGANA,2019,873,1322,163,4190,695,8541,22,15806
TRIPURA,2019,88,138,38,153,5,451,0,873
UTTAR PRADESH,2019,3065,11649,2410,11988,42,18304,22,47480
UTTARAKHAND,2019,526,375,57,475,10,644,3,2090
WEST BENGAL,2019,1069,4249,444,3399,391,16951,97,26600
ANDAMAN & NICOBAR ISLANDS,2019,13,0,0,25,3,1,0,42
CHANDIGARH,2019,112,129,6,66,15,177,0,505
DADRA & NAGAR HAVELI,2019,0,1,3,3,0,3,0,10
DAMAN AND DIU,2019,4,2,2,5,3,4,1,21
DELHI,2019,1253,3672,116,2355,456,3792,4,11648
LAKSHADWEEP,2019,0,0,0,5,8,0,0,13
PUDUCHERRY,2019,10,0,0,23,0,8,0,41
ANDHRA PRADESH,2020,1095,534,111,4886,2342,6546,48,15562
ARUNACHAL PRADESH,2020,60,45,0,73,3,69,0,250
ASSAM,2020,1657,5364,148,4642,90,11408,18,23327
BIHAR,2020,806,6671,1046,584,6,1935,30,11078
CHHATTISGARH,2020,1210,1341,71,1461,279,641,3,5006
GOA,2020,60,31,0,67,35,8,0,201
GUJARAT,2020,486,597,6,846,17,3345,47,5344
HARYANA,2020,1373,2423,251,2339,183,4119,28,10716
HIMACHAL PRADESH,2020,331,281,1,538,88,259,0,1498
JAMMU & KASHMIR,2020,1321,993,275,1358,6,857,2,4812
JHARKHAND,2020,504,923,176,4751,70,2055,159,8638
KARNATAKA,2020,637,151,6,3890,442,2707,5,7838
KERALA,2020,2339,4782,608,5378,200,5540,14,18861
MADHYA PRADESH,2020,2061,5254,197,9965,969,6729,85,25260
MAHARASHTRA,2020,32,49,1,61,8,7,0,158
MANIPUR,2020,67,29,1,86,16,17,0,216
MEGHALAYA,2020,33,1,0,26,3,7,0,70
MIZORAM,2020,4,6,1,7,2,2,0,22
NAGALAND,2020,1211,3775,320,12605,615,3659,19,22204
ODISHA,2020,502,1241,63,731,28,1271,11,3847
PUNJAB,2020,5310,4739,479,8661,85,13765,67,33106
RAJASTHAN,2020,12,11,0,18,0,1,0,42
SIKKIM,2020,389,633,40,892,31,689,231,2905
TAMIL NADU,2020,764,1314,158,4907,565,7453,13,15174
TELANGANA,2020,79,110,23,115,3,356,0,686
TRIPURA,2020,2769,9109,2274,9864,28,14454,25,38523
UTTAR PRADESH,2020,487,349,65,474,43,668,8,2094
UTTARAKHAND,2020,1128,7740,522,2488,446,19962,52,32338
WEST BENGAL,2020,2,1,0,15,3,2,0,23
ANDAMAN & NICOBAR ISLANDS,2020,60,90,1,42,4,96,0,293
CHANDIGARH,2020,4,0,1,6,3,4,0,18
DADRA & NAGAR HAVELI,2020,997,2938,110,1840,416,2557,3,8861
DAMAN AND DIU,2020,243,775,9,1744,35,349,0,3155
DELHI,2020,2,0,0,4,0,3,0,9
LAKSHADWEEP,2020,3,0,0,3,1,0,0,7
PUDUCHERRY,2020,8,0,2,25,0,9,0,44
ANDHRA PRADESH,2021,1188,613,108,5108,2370,7092,70,16549
ARUNACHAL PRADESH,2021,83,50,0,74,10,112,0,329
ASSAM,2021,1733,5739,198,4499,184,12950,22,25325
BIHAR,2021,786,8661,1000,387,1,2069,32,12936
CHHATTISGARH,2021,1093,1158,65,1248,238,963,3,4768
GOA,2021,72,39,0,74,20,1,1,207
GUJARAT,2021,589,881,11,660,7,2271,38,4457
HARYANA,2021,1716,2958,275,2882,290,5755,28,13904
HIMACHAL PRADESH,2021,358,344,2,487,94,221,6,1512
JAMMU & KASHMIR,2021,1425,1159,281,1335,6,931,3,5140
JHARKHAND,2021,555,906,158,5105,71,2336,190,9321
KARNATAKA,2021,771,179,9,4059,504,4997,5,10524
KERALA,2021,2947,6106,522,5760,250,7929,15,23529
MADHYA PRADESH,2021,2496,7559,172,10568,1038,10095,95,32023
MAHARASHTRA,2021,26,44,2,92,16,18,0,198
MANIPUR,2021,75,42,0,92,24,21,3,257
MEGHALAYA,2021,26,0,0,31,0,11,0,68
MIZORAM,2021,4,5,0,11,1,2,0,23
NAGALAND,2021,1456,5175,293,14853,838,4889,31,27535
ODISHA,2021,464,1616,69,678,39,1714,12,4592
PUNJAB,2021,6337,5964,452,9079,73,16949,40,38894
RAJASTHAN,2021,8,1,0,17,0,3,0,29
SIKKIM,2021,422,638,27,1077,32,875,381,3452
TAMIL NADU,2021,823,1934,175,4365,775,9468,12,17552
TELANGANA,2021,61,115,22,94,1,355,0,648
TRIPURA,2021,2845,10574,2222,9393,27,18375,12,43448
UTTAR PRADESH,2021,534,402,72,655,13,519,17,2212
UTTARAKHAND,2021,1123,7376,454,2485,424,19952,50,31864
WEST BENGAL,2021,15,0,1,32,4,4,0,56
ANDAMAN & NICOBAR ISLANDS,2021,74,120,4,37,6,95,0,336
CHANDIGARH,2021,3,23,0,7,0,6,0,39
DADRA & NAGAR HAVELI,2021,1250,4083,141,2068,417,4731,4,12694
DAMAN AND DIU,2021,315,904,16,1851,10,501,1,3598
DELHI,2021,2,1,0,5,1,9,0,18
LAKSHADWEEP,2021,0,0,0,1,1,3,0,5
PUDUCHERRY,2021,2,0,2,31,3,12,0,50
